matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,AvgPointDelta,Season
6.0,FC Koln,Hoffenheim,1,1,0,1,13,0.8,13,0.8,X,0.0,1011
6.0,Werder Bremen,Hamburg,3,2,1,3,14,0.8,14,0.8,1,0.0,1011
6.0,Stuttgart,Leverkusen,1,4,-3,0,16,0.6,16,0.6,2,0.0,1011
6.0,St Pauli,Dortmund,1,3,-2,0,9,1.4,9,1.4,2,0.0,1011
6.0,Ein Frankfurt,Nurnberg,2,0,2,3,17,0.6,17,0.6,1,0.0,1011
6.0,Bayern Munich,Mainz,1,2,-1,0,7,1.6,7,1.6,2,0.0,1011
6.0,Schalke 04,M'gladbach,2,2,0,1,18,0.6,18,0.6,X,0.0,1011
6.0,Kaiserslautern,Hannover,0,1,-1,0,10,1.4,10,1.4,2,0.0,1011
6.0,Wolfsburg,Freiburg,2,1,1,3,12,1.2,12,1.2,1,0.0,1011
7.0,Hannover,St Pauli,0,1,-1,0,3,2.1666666666666665,3,2.1666666666666665,2,0.0,1011
7.0,Nurnberg,Schalke 04,2,1,1,3,14,1.0,14,1.0,1,0.0,1011
7.0,M'gladbach,Wolfsburg,1,1,0,1,16,0.8333333333333334,16,0.8333333333333334,X,0.0,1011
7.0,Hamburg,Kaiserslautern,2,1,1,3,8,1.3333333333333333,8,1.3333333333333333,1,0.0,1011
7.0,Freiburg,FC Koln,3,2,1,3,7,1.5,7,1.5,1,0.0,1011
7.0,Mainz,Hoffenheim,4,2,2,3,1,3.0,1,3.0,1,0.0,1011
7.0,Dortmund,Bayern Munich,2,0,2,3,2,2.5,2,2.5,1,0.0,1011
7.0,Leverkusen,Werder Bremen,2,2,0,1,5,1.8333333333333333,5,1.8333333333333333,X,0.0,1011
7.0,Stuttgart,Ein Frankfurt,1,2,-1,0,18,0.5,18,0.5,2,0.0,1011
8.0,FC Koln,Dortmund,1,2,-1,0,16,0.7142857142857143,16,0.7142857142857143,2,0.0,1011
8.0,Schalke 04,Stuttgart,2,2,0,1,17,0.5714285714285714,17,0.5714285714285714,X,0.0,1011
8.0,Bayern Munich,Hannover,3,0,3,3,12,1.1428571428571428,12,1.1428571428571428,1,0.0,1011
8.0,Mainz,Hamburg,0,1,-1,0,1,3.0,1,3.0,2,0.0,1011
8.0,St Pauli,Nurnberg,3,2,1,3,9,1.4285714285714286,9,1.4285714285714286,1,0.0,1011
8.0,Werder Bremen,Freiburg,2,1,1,3,13,1.1428571428571428,13,1.1428571428571428,1,0.0,1011
8.0,Wolfsburg,Leverkusen,2,3,-1,0,8,1.4285714285714286,8,1.4285714285714286,2,0.0,1011
8.0,Hoffenheim,M'gladbach,3,2,1,3,6,1.5714285714285714,6,1.5714285714285714,1,0.0,1011
8.0,Kaiserslautern,Ein Frankfurt,0,3,-3,0,14,1.0,14,1.0,2,0.0,1011
9.0,Hamburg,Bayern Munich,0,0,0,1,5,1.75,5,1.75,X,0.0,1011
9.0,Nurnberg,Wolfsburg,2,1,1,3,13,1.125,13,1.125,1,0.0,1011
9.0,M'gladbach,Werder Bremen,1,4,-3,0,15,0.75,15,0.75,2,0.0,1011
9.0,Hannover,FC Koln,2,1,1,3,7,1.625,7,1.625,1,0.0,1011
9.0,Freiburg,Kaiserslautern,2,1,1,3,9,1.5,9,1.5,1,0.0,1011
9.0,Ein Frankfurt,Schalke 04,0,0,0,1,8,1.5,8,1.5,X,0.0,1011
9.0,Dortmund,Hoffenheim,1,1,0,1,1,2.625,1,2.625,X,0.0,1011
9.0,Leverkusen,Mainz,0,1,-1,0,3,1.875,3,1.875,2,0.0,1011
9.0,Stuttgart,St Pauli,2,0,2,3,18,0.5,18,0.5,1,0.0,1011
10.0,Bayern Munich,Freiburg,4,2,2,3,11,1.3333333333333333,11,1.3333333333333333,1,0.0,1011
10.0,Wolfsburg,Stuttgart,2,0,2,3,13,1.1111111111111112,13,1.1111111111111112,1,0.0,1011
10.0,Werder Bremen,Nurnberg,2,3,-1,0,8,1.5555555555555556,8,1.5555555555555556,2,0.0,1011
10.0,St Pauli,Ein Frankfurt,1,3,-2,0,10,1.4444444444444444,10,1.4444444444444444,2,0.0,1011
10.0,Schalke 04,Leverkusen,0,1,-1,0,16,0.6666666666666666,16,0.6666666666666666,2,0.0,1011
10.0,Kaiserslautern,M'gladbach,3,0,3,3,15,0.7777777777777778,15,0.7777777777777778,1,0.0,1011
10.0,FC Koln,Hamburg,3,2,1,3,18,0.5555555555555556,18,0.5555555555555556,1,0.0,1011
10.0,Hoffenheim,Hannover,4,0,4,3,4,1.6666666666666667,4,1.6666666666666667,1,0.0,1011
10.0,Mainz,Dortmund,0,2,-2,0,1,2.6666666666666665,1,2.6666666666666665,2,0.0,1011
11.0,Schalke 04,St Pauli,3,0,3,3,17,0.6,17,0.6,1,0.0,1011
11.0,Nurnberg,FC Koln,3,1,2,3,9,1.5,9,1.5,1,0.0,1011
11.0,M'gladbach,Bayern Munich,3,3,0,1,18,0.6,18,0.6,X,0.0,1011
11.0,Hamburg,Hoffenheim,2,1,1,3,8,1.5,8,1.5,1,0.0,1011
11.0,Freiburg,Mainz,1,0,1,3,10,1.5,10,1.5,1,0.0,1011
11.0,Ein Frankfurt,Wolfsburg,3,1,2,3,5,1.6,5,1.6,1,0.0,1011
11.0,Hannover,Dortmund,0,4,-4,0,6,1.6,6,1.6,2,0.0,1011
11.0,Leverkusen,Kaiserslautern,3,1,2,3,4,1.8,4,1.8,1,0.0,1011
11.0,Stuttgart,Werder Bremen,6,0,6,3,16,0.7,16,0.7,1,0.0,1011
12.0,Dortmund,Hamburg,2,0,2,3,1,2.5454545454545454,1,2.5454545454545454,1,0.0,1011
12.0,Wolfsburg,Schalke 04,2,2,0,1,12,1.181818181818182,12,1.181818181818182,X,0.0,1011
12.0,Werder Bremen,Ein Frankfurt,0,0,0,1,11,1.2727272727272727,11,1.2727272727272727,X,0.0,1011
12.0,St Pauli,Leverkusen,0,1,-1,0,13,1.181818181818182,13,1.181818181818182,2,0.0,1011
12.0,Mainz,Hannover,0,1,-1,0,2,2.1818181818181817,2,2.1818181818181817,2,0.0,1011
12.0,Kaiserslautern,Stuttgart,3,3,0,1,15,0.9090909090909092,15,0.9090909090909092,X,0.0,1011
12.0,FC Koln,M'gladbach,0,4,-4,0,17,0.7272727272727273,17,0.7272727272727273,2,0.0,1011
12.0,Bayern Munich,Nurnberg,3,0,3,3,9,1.4545454545454546,9,1.4545454545454546,1,0.0,1011
12.0,Hoffenheim,Freiburg,0,1,-1,0,5,1.6363636363636365,5,1.6363636363636365,2,0.0,1011
13.0,Schalke 04,Werder Bremen,4,0,4,3,16,0.8333333333333334,16,0.8333333333333334,1,0.0,1011
13.0,M'gladbach,Mainz,2,3,-1,0,17,0.8333333333333334,17,0.8333333333333334,2,0.0,1011
13.0,Leverkusen,Bayern Munich,1,1,0,1,2,2.0,2,2.0,X,0.0,1011
13.0,Nurnberg,Kaiserslautern,1,3,-2,0,10,1.5,10,1.5,2,0.0,1011
13.0,Freiburg,Dortmund,1,2,-1,0,4,1.75,4,1.75,2,0.0,1011
13.0,Ein Frankfurt,Hoffenheim,0,4,-4,0,5,1.6666666666666667,5,1.6666666666666667,2,0.0,1011
13.0,Hannover,Hamburg,3,2,1,3,7,1.5833333333333333,7,1.5833333333333333,1,0.0,1011
13.0,St Pauli,Wolfsburg,1,1,0,1,13,1.0833333333333333,13,1.0833333333333333,X,0.0,1011
13.0,Stuttgart,FC Koln,0,1,-1,0,14,0.9166666666666666,14,0.9166666666666666,2,0.0,1011
14.0,Mainz,Nurnberg,3,0,3,3,2,2.076923076923077,2,2.076923076923077,1,0.0,1011
14.0,Kaiserslautern,Schalke 04,5,0,5,3,13,1.0769230769230769,13,1.0769230769230769,1,0.0,1011
14.0,Hoffenheim,Leverkusen,2,2,0,1,5,1.6153846153846154,5,1.6153846153846154,X,0.0,1011
14.0,Hannover,Freiburg,3,0,3,3,4,1.6923076923076923,4,1.6923076923076923,1,0.0,1011
14.0,Hamburg,Stuttgart,4,2,2,3,9,1.3846153846153846,9,1.3846153846153846,1,0.0,1011
14.0,Bayern Munich,Ein Frankfurt,4,1,3,3,7,1.5384615384615383,7,1.5384615384615383,1,0.0,1011
14.0,Dortmund,M'gladbach,4,1,3,3,1,2.6153846153846154,1,2.6153846153846154,1,0.0,1011
14.0,FC Koln,Wolfsburg,1,1,0,1,17,0.8461538461538461,17,0.8461538461538461,X,0.0,1011
14.0,Werder Bremen,St Pauli,3,0,3,3,12,1.1538461538461535,12,1.1538461538461535,1,0.0,1011
15.0,St Pauli,Kaiserslautern,1,0,1,3,14,1.0,14,1.0,1,0.0,1011
15.0,Wolfsburg,Werder Bremen,0,0,0,1,13,1.1428571428571428,13,1.1428571428571428,X,0.0,1011
15.0,Schalke 04,Bayern Munich,2,0,2,3,15,0.9285714285714286,15,0.9285714285714286,1,0.0,1011
15.0,Stuttgart,Hoffenheim,1,1,0,1,17,0.7857142857142857,17,0.7857142857142857,X,0.0,1011
15.0,Freiburg,Hamburg,1,0,1,3,8,1.5,8,1.5,1,0.0,1011
15.0,Ein Frankfurt,Mainz,2,1,1,3,9,1.4285714285714286,9,1.4285714285714286,1,0.0,1011
15.0,M'gladbach,Hannover,1,2,-1,0,18,0.7142857142857143,18,0.7142857142857143,2,0.0,1011
15.0,Leverkusen,FC Koln,3,2,1,3,3,1.8571428571428568,3,1.8571428571428568,1,0.0,1011
15.0,Nurnberg,Dortmund,0,2,-2,0,10,1.2857142857142858,10,1.2857142857142858,2,0.0,1011
16.0,Hannover,Stuttgart,2,1,1,3,4,1.8666666666666667,4,1.8666666666666667,1,0.0,1011
16.0,Kaiserslautern,Wolfsburg,0,0,0,1,12,1.1333333333333333,12,1.1333333333333333,X,0.0,1011
16.0,Hamburg,Leverkusen,2,4,-2,0,9,1.4,9,1.4,2,0.0,1011
16.0,Hoffenheim,Nurnberg,1,1,0,1,6,1.5333333333333334,6,1.5333333333333334,X,0.0,1011
16.0,Dortmund,Werder Bremen,2,0,2,3,1,2.6666666666666665,1,2.6666666666666665,1,0.0,1011
16.0,Bayern Munich,St Pauli,3,0,3,3,7,1.5333333333333334,7,1.5333333333333334,1,0.0,1011
16.0,FC Koln,Ein Frankfurt,1,0,1,3,17,0.8,17,0.8,1,0.0,1011
16.0,Freiburg,M'gladbach,3,0,3,3,5,1.6,5,1.6,1,0.0,1011
16.0,Mainz,Schalke 04,0,1,-1,0,2,2.0,2,2.0,2,0.0,1011
17.0,M'gladbach,Hamburg,1,2,-1,0,18,0.625,18,0.625,2,0.0,1011
17.0,Werder Bremen,Kaiserslautern,1,2,-1,0,12,1.1875,12,1.1875,2,0.0,1011
17.0,Ein Frankfurt,Dortmund,1,0,1,3,8,1.4375,8,1.4375,1,0.0,1011
17.0,Nurnberg,Hannover,3,1,2,3,11,1.1875,11,1.1875,1,0.0,1011
17.0,Schalke 04,FC Koln,3,0,3,3,10,1.1875,10,1.1875,1,0.0,1011
17.0,St Pauli,Mainz,2,4,-2,0,15,1.0625,15,1.0625,2,0.0,1011
17.0,Wolfsburg,Hoffenheim,2,2,0,1,14,1.125,14,1.125,X,0.0,1011
17.0,Stuttgart,Bayern Munich,3,5,-2,0,17,0.75,17,0.75,2,0.0,1011
17.0,Leverkusen,Freiburg,2,2,0,1,2,2.0,2,2.0,X,0.0,1011
18.0,Leverkusen,Dortmund,1,3,-2,0,3,1.9411764705882355,3,1.9411764705882355,2,0.0,1011
18.0,Nurnberg,M'gladbach,0,1,-1,0,11,1.2941176470588236,11,1.2941176470588236,2,0.0,1011
18.0,Schalke 04,Hamburg,0,1,-1,0,10,1.2941176470588236,10,1.2941176470588236,2,0.0,1011
18.0,St Pauli,Freiburg,2,2,0,1,15,1.0,15,1.0,X,0.0,1011
18.0,Stuttgart,Mainz,1,0,1,3,17,0.7058823529411765,17,0.7058823529411765,1,0.0,1011
18.0,Werder Bremen,Hoffenheim,2,1,1,3,14,1.1176470588235294,14,1.1176470588235294,1,0.0,1011
18.0,Wolfsburg,Bayern Munich,1,1,0,1,13,1.1176470588235294,13,1.1176470588235294,X,0.0,1011
18.0,Kaiserslautern,FC Koln,1,1,0,1,12,1.2352941176470589,12,1.2352941176470589,X,0.0,1011
18.0,Ein Frankfurt,Hannover,0,3,-3,0,7,1.5294117647058822,7,1.5294117647058822,2,0.0,1011
19.0,Hamburg,Ein Frankfurt,1,0,1,3,7,1.5,7,1.5,1,0.0,1011
19.0,Bayern Munich,Kaiserslautern,5,1,4,3,5,1.6666666666666667,5,1.6666666666666667,1,0.0,1011
19.0,Dortmund,Stuttgart,1,1,0,1,1,2.555555555555556,1,2.555555555555556,X,0.0,1011
19.0,FC Koln,Werder Bremen,3,0,3,3,16,0.8888888888888888,16,0.8888888888888888,1,0.0,1011
19.0,Freiburg,Nurnberg,1,1,0,1,6,1.6111111111111112,6,1.6111111111111112,X,0.0,1011
19.0,Hannover,Schalke 04,0,1,-1,0,2,1.8888888888888888,2,1.8888888888888888,2,0.0,1011
19.0,Mainz,Wolfsburg,0,1,-1,0,3,1.8333333333333333,3,1.8333333333333333,2,0.0,1011
19.0,Hoffenheim,St Pauli,2,2,0,1,9,1.3888888888888888,9,1.3888888888888888,X,0.0,1011
19.0,M'gladbach,Leverkusen,1,3,-2,0,18,0.7222222222222222,18,0.7222222222222222,2,0.0,1011
20.0,Leverkusen,Hannover,2,0,2,3,2,1.894736842105263,2,1.894736842105263,1,0.0,1011
20.0,Kaiserslautern,Mainz,0,1,-1,0,13,1.1578947368421053,13,1.1578947368421053,2,0.0,1011
20.0,Nurnberg,Hamburg,2,0,2,3,12,1.2105263157894737,12,1.2105263157894737,1,0.0,1011
20.0,Schalke 04,Hoffenheim,0,1,-1,0,10,1.3157894736842106,10,1.3157894736842106,2,0.0,1011
20.0,St Pauli,FC Koln,3,0,3,3,16,1.0,16,1.0,1,0.0,1011
20.0,Werder Bremen,Bayern Munich,1,3,-2,0,14,1.1578947368421053,14,1.1578947368421053,2,0.0,1011
20.0,Wolfsburg,Dortmund,0,3,-3,0,11,1.2105263157894737,11,1.2105263157894737,2,0.0,1011
20.0,Ein Frankfurt,M'gladbach,0,1,-1,0,9,1.368421052631579,9,1.368421052631579,2,0.0,1011
20.0,Stuttgart,Freiburg,0,1,-1,0,17,0.8421052631578947,17,0.8421052631578947,2,0.0,1011
21.0,Dortmund,Schalke 04,0,0,0,1,1,2.5,1,2.5,X,0.0,1011
21.0,Hamburg,St Pauli,0,1,-1,0,7,1.5,7,1.5,2,0.0,1011
21.0,Nurnberg,Leverkusen,1,0,1,3,10,1.3,10,1.3,1,0.0,1011
21.0,M'gladbach,Stuttgart,2,3,-1,0,18,0.8,18,0.8,2,0.0,1011
21.0,FC Koln,Bayern Munich,3,2,1,3,16,0.95,16,0.95,1,0.0,1011
21.0,Hoffenheim,Kaiserslautern,3,2,1,3,8,1.45,8,1.45,1,0.0,1011
21.0,Hannover,Wolfsburg,1,0,1,3,5,1.7,5,1.7,1,0.0,1011
21.0,Mainz,Werder Bremen,1,1,0,1,4,1.8,4,1.8,X,0.0,1011
21.0,Freiburg,Ein Frankfurt,0,0,0,1,6,1.65,6,1.65,X,0.0,1011
22.0,Stuttgart,Nurnberg,1,4,-3,0,17,0.9047619047619048,17,0.9047619047619048,2,0.0,1011
22.0,Wolfsburg,Hamburg,0,1,-1,0,13,1.0952380952380951,13,1.0952380952380951,2,0.0,1011
22.0,St Pauli,M'gladbach,3,1,2,3,12,1.1904761904761905,12,1.1904761904761905,1,0.0,1011
22.0,Kaiserslautern,Dortmund,1,1,0,1,15,1.0476190476190477,15,1.0476190476190477,X,0.0,1011
22.0,Schalke 04,Freiburg,1,0,1,3,11,1.238095238095238,11,1.238095238095238,1,0.0,1011
22.0,Ein Frankfurt,Leverkusen,0,3,-3,0,10,1.2857142857142858,10,1.2857142857142858,2,0.0,1011
22.0,Bayern Munich,Hoffenheim,4,0,4,3,5,1.7142857142857142,5,1.7142857142857142,1,0.0,1011
22.0,FC Koln,Mainz,4,2,2,3,16,1.0476190476190477,16,1.0476190476190477,1,0.0,1011
22.0,Werder Bremen,Hannover,1,1,0,1,14,1.0952380952380951,14,1.0952380952380951,X,0.0,1011
23.0,Nurnberg,Ein Frankfurt,3,0,3,3,9,1.4545454545454546,9,1.4545454545454546,1,0.0,1011
23.0,Mainz,Bayern Munich,1,3,-2,0,5,1.681818181818182,5,1.681818181818182,2,0.0,1011
23.0,Hoffenheim,FC Koln,1,1,0,1,8,1.4545454545454546,8,1.4545454545454546,X,0.0,1011
23.0,Hannover,Kaiserslautern,3,0,3,3,4,1.7272727272727273,4,1.7272727272727273,1,0.0,1011
23.0,Hamburg,Werder Bremen,4,0,4,3,7,1.5,7,1.5,1,0.0,1011
23.0,Freiburg,Wolfsburg,2,1,1,3,6,1.5454545454545454,6,1.5454545454545454,1,0.0,1011
23.0,Dortmund,St Pauli,2,0,2,3,1,2.363636363636364,1,2.363636363636364,1,0.0,1011
23.0,Leverkusen,Stuttgart,4,2,2,3,2,1.9090909090909087,2,1.9090909090909087,1,0.0,1011
23.0,M'gladbach,Schalke 04,2,1,1,3,18,0.7272727272727273,18,0.7272727272727273,1,0.0,1011
24.0,Wolfsburg,M'gladbach,2,1,1,3,15,1.0,15,1.0,1,0.0,1011
24.0,St Pauli,Hannover,0,1,-1,0,11,1.2173913043478262,11,1.2173913043478262,2,0.0,1011
24.0,Schalke 04,Nurnberg,1,1,0,1,10,1.2608695652173914,10,1.2608695652173914,X,0.0,1011
24.0,Hoffenheim,Mainz,1,2,-1,0,9,1.434782608695652,9,1.434782608695652,2,0.0,1011
24.0,Bayern Munich,Dortmund,1,3,-2,0,3,1.826086956521739,3,1.826086956521739,2,0.0,1011
24.0,FC Koln,Freiburg,1,0,1,3,13,1.1304347826086956,13,1.1304347826086956,1,0.0,1011
24.0,Kaiserslautern,Hamburg,1,1,0,1,16,1.0,16,1.0,X,0.0,1011
24.0,Ein Frankfurt,Stuttgart,0,2,-2,0,12,1.173913043478261,12,1.173913043478261,2,0.0,1011
24.0,Werder Bremen,Leverkusen,2,2,0,1,14,1.0434782608695652,14,1.0434782608695652,X,0.0,1011
25.0,Dortmund,FC Koln,1,0,1,3,1,2.4166666666666665,1,2.4166666666666665,1,0.0,1011
25.0,Ein Frankfurt,Kaiserslautern,0,0,0,1,13,1.125,13,1.125,X,0.0,1011
25.0,Hannover,Bayern Munich,3,1,2,3,3,1.8333333333333333,3,1.8333333333333333,1,0.0,1011
25.0,Leverkusen,Wolfsburg,3,0,3,3,2,1.9166666666666667,2,1.9166666666666667,1,0.0,1011
25.0,M'gladbach,Hoffenheim,2,0,2,3,18,0.7916666666666666,18,0.7916666666666666,1,0.0,1011
25.0,Nurnberg,St Pauli,5,0,5,3,8,1.5,8,1.5,1,0.0,1011
25.0,Stuttgart,Schalke 04,1,0,1,3,17,0.9166666666666666,17,0.9166666666666666,1,0.0,1011
25.0,Freiburg,Werder Bremen,1,3,-2,0,7,1.5416666666666667,7,1.5416666666666667,2,0.0,1011
25.0,Hamburg,Mainz,2,4,-2,0,6,1.5416666666666667,6,1.5416666666666667,2,0.0,1011
26.0,FC Koln,Hannover,4,0,4,3,11,1.16,11,1.16,1,0.0,1011
26.0,Werder Bremen,M'gladbach,1,1,0,1,14,1.12,14,1.12,X,0.0,1011
26.0,Wolfsburg,Nurnberg,1,2,-1,0,15,1.04,15,1.04,2,0.0,1011
26.0,Schalke 04,Ein Frankfurt,2,1,1,3,10,1.2,10,1.2,1,0.0,1011
26.0,Kaiserslautern,Freiburg,2,1,1,3,17,1.0,17,1.0,1,0.0,1011
26.0,Bayern Munich,Hamburg,6,0,6,3,5,1.68,5,1.68,1,0.0,1011
26.0,Hoffenheim,Dortmund,1,0,1,3,9,1.32,9,1.32,1,0.0,1011
26.0,Mainz,Leverkusen,0,1,-1,0,4,1.72,4,1.72,2,0.0,1011
26.0,St Pauli,Stuttgart,1,2,-1,0,13,1.12,13,1.12,2,0.0,1011
27.0,M'gladbach,Kaiserslautern,0,1,-1,0,18,0.8846153846153846,18,0.8846153846153846,2,0.0,1011
27.0,Dortmund,Mainz,1,1,0,1,1,2.3461538461538463,1,2.3461538461538463,X,0.0,1011
27.0,Ein Frankfurt,St Pauli,2,1,1,3,15,1.0769230769230769,15,1.0769230769230769,1,0.0,1011
27.0,Freiburg,Bayern Munich,1,2,-1,0,7,1.4230769230769231,7,1.4230769230769231,2,0.0,1011
27.0,Hamburg,FC Koln,6,2,4,3,8,1.4230769230769231,8,1.4230769230769231,1,0.0,1011
27.0,Hannover,Hoffenheim,2,0,2,3,3,1.807692307692308,3,1.807692307692308,1,0.0,1011
27.0,Nurnberg,Werder Bremen,1,3,-2,0,6,1.6153846153846154,6,1.6153846153846154,2,0.0,1011
27.0,Leverkusen,Schalke 04,2,0,2,3,2,2.0,2,2.0,1,0.0,1011
27.0,Stuttgart,Wolfsburg,1,1,0,1,13,1.0769230769230769,13,1.0769230769230769,X,0.0,1011
28.0,St Pauli,Schalke 04,0,2,-2,0,16,1.037037037037037,16,1.037037037037037,2,0.0,1011
28.0,Werder Bremen,Stuttgart,1,1,0,1,12,1.1851851851851851,12,1.1851851851851851,X,0.0,1011
28.0,Hoffenheim,Hamburg,0,0,0,1,9,1.3333333333333333,9,1.3333333333333333,X,0.0,1011
28.0,Mainz,Freiburg,1,1,0,1,5,1.6296296296296295,5,1.6296296296296295,X,0.0,1011
28.0,Kaiserslautern,Leverkusen,0,1,-1,0,13,1.148148148148148,13,1.148148148148148,2,0.0,1011
28.0,Bayern Munich,M'gladbach,1,0,1,3,4,1.7777777777777777,4,1.7777777777777777,1,0.0,1011
28.0,Dortmund,Hannover,4,1,3,3,1,2.2962962962962963,1,2.2962962962962963,1,0.0,1011
28.0,FC Koln,Nurnberg,1,0,1,3,11,1.1851851851851851,11,1.1851851851851851,1,0.0,1011
28.0,Wolfsburg,Ein Frankfurt,1,1,0,1,17,1.0,17,1.0,X,0.0,1011
29.0,Ein Frankfurt,Werder Bremen,1,1,0,1,13,1.1428571428571428,13,1.1428571428571428,X,0.0,1011
29.0,Stuttgart,Kaiserslautern,2,4,-2,0,15,1.0714285714285714,15,1.0714285714285714,2,0.0,1011
29.0,Schalke 04,Wolfsburg,1,0,1,3,10,1.2857142857142858,10,1.2857142857142858,1,0.0,1011
29.0,Nurnberg,Bayern Munich,1,1,0,1,6,1.5,6,1.5,X,0.0,1011
29.0,Hannover,Mainz,2,0,2,3,4,1.7857142857142858,4,1.7857142857142858,1,0.0,1011
29.0,Freiburg,Hoffenheim,3,2,1,3,8,1.3571428571428572,8,1.3571428571428572,1,0.0,1011
29.0,Hamburg,Dortmund,1,1,0,1,7,1.4642857142857142,7,1.4642857142857142,X,0.0,1011
29.0,Leverkusen,St Pauli,2,1,1,3,2,2.071428571428572,2,2.071428571428572,1,0.0,1011
29.0,M'gladbach,FC Koln,5,1,4,3,18,0.8214285714285714,18,0.8214285714285714,1,0.0,1011
30.0,Mainz,M'gladbach,1,0,1,3,5,1.5517241379310345,5,1.5517241379310345,1,0.0,1011
30.0,Wolfsburg,St Pauli,2,2,0,1,16,0.9655172413793104,16,0.9655172413793104,X,0.0,1011
30.0,Werder Bremen,Schalke 04,1,1,0,1,13,1.1724137931034482,13,1.1724137931034482,X,0.0,1011
